,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
583,,,,,,5.0,22.0,2.0,11.0,1.0,2.0,,,2.0,8.0,,,0.0,1.0,,,,,8.0,,4.0,3.0,2.0,4.0,7.0,,,1.0,,,1.0,9.0,RSA,GRE,L,Team,23,ZHANG,WALDOW
584,GENIDOUNIAS,Konstantinos,13:43,13.0,43.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,1.0,GRE,RSA,W,Player,23,ZHANG,WALDOW
585,SKOUMPAKIS,Dimitrios,16:13,16.0,13.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
586,KAPOTSIS,Marios,20:44,20.0,44.0,3.0,4.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
587,FOUNTOULIS,Ioannis,16:30,16.0,30.0,5.0,6.0,2.0,3.0,,,,,1.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
588,PAPANASTASIOU,Alexandros,20:49,20.0,49.0,3.0,6.0,2.0,2.0,,,0.0,1.0,0.0,1.0,,,,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,0.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
589,DERVISIS,Georgios,16:48,16.0,48.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
590,ARGYROPOULOS KANAKAKIS,Stylianos,18:08,18.0,8.0,4.0,6.0,1.0,3.0,,,,,2.0,2.0,,,,,,,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,1.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
591,MOURIKIS,Konstantinos,13:39,13.0,39.0,1.0,2.0,,,0.0,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
592,KOLOMVOS,Christodoulos,15:40,15.0,40.0,1.0,2.0,,,0.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
593,GKIOUVETSIS,Konstantinos,20:49,20.0,49.0,3.0,6.0,0.0,2.0,0.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,,,0.0,1.0,,1.0,,,,,,1.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
594,VLACHOPOULOS,Angelos,18:57,18.0,57.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,0.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
595,GALANIDIS,Konstantinos,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,RSA,W,Player,23,WALDOW,ZHANG
596,,,,,,28.0,42.0,12.0,18.0,0.0,3.0,0.0,1.0,7.0,8.0,1.0,1.0,,,1.0,1.0,7.0,10.0,4.0,14.0,4.0,4.0,2.0,4.0,5.0,3.0,,,,,,8.0,GRE,RSA,W,Team,23,WALDOW,ZHANG
597,WOLF,Alex,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,USA,HUN,L,Player,24,WALDOW,ZHANG
598,HOOPER,Johnny,15:25,15.0,25.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,0.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
599,VAVIC,Marko,19:05,19.0,5.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
600,OBERT,Alex,16:08,16.0,8.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
601,DAUBE,Hannes,21:24,21.0,24.0,1.0,5.0,0.0,1.0,,,,,1.0,4.0,,,,,,,,,1.0,,,,,,2.0,,,,1.0,,,3.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
